 17-Feb-2013       (cy_0036.dat - 1.0*Aver(cy_0035.dat,cy_0037.dat) /  2.6100 
 cy_0036.dat  Conc = .26E+01  N1 =    1  N2 = 1639
 cy_0035.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
 cy_0037.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
  0.134377E+01  0.195466E+03  0.654481E+01
  0.134643E+01  0.182925E+03  0.659410E+01
  0.134908E+01  0.192527E+03  0.646013E+01
  0.135173E+01  0.192651E+03  0.652393E+01
  0.135438E+01  0.198098E+03  0.654926E+01
  0.135704E+01  0.190193E+03  0.645827E+01
  0.135969E+01  0.187044E+03  0.652740E+01
  0.136234E+01  0.182167E+03  0.646251E+01
  0.136499E+01  0.177034E+03  0.652361E+01
  0.136764E+01  0.182766E+03  0.643422E+01
  0.137030E+01  0.174354E+03  0.641804E+01
  0.137295E+01  0.172569E+03  0.646140E+01
  0.137560E+01  0.173816E+03  0.644496E+01
  0.137825E+01  0.171808E+03  0.644163E+01
  0.138091E+01  0.172946E+03  0.636923E+01
  0.138356E+01  0.182010E+03  0.641357E+01
  0.138621E+01  0.166548E+03  0.641014E+01
  0.138886E+01  0.164573E+03  0.634002E+01
  0.139151E+01  0.175163E+03  0.644651E+01
  0.139417E+01  0.179383E+03  0.634512E+01
  0.139682E+01  0.174607E+03  0.639912E+01
  0.139947E+01  0.167193E+03  0.632343E+01
  0.140212E+01  0.174446E+03  0.634885E+01
  0.140477E+01  0.171375E+03  0.635076E+01
  0.140743E+01  0.166389E+03  0.633095E+01
  0.141008E+01  0.165406E+03  0.635103E+01
  0.141273E+01  0.173224E+03  0.630046E+01
  0.141538E+01  0.166860E+03  0.630717E+01
  0.141804E+01  0.163642E+03  0.632664E+01
  0.142069E+01  0.164462E+03  0.626114E+01
  0.142334E+01  0.165349E+03  0.633643E+01
  0.142599E+01  0.157868E+03  0.623608E+01
  0.142864E+01  0.157425E+03  0.630912E+01
  0.143130E+01  0.154877E+03  0.626389E+01
  0.143395E+01  0.161510E+03  0.618986E+01
  0.143660E+01  0.162739E+03  0.633159E+01
  0.143925E+01  0.164002E+03  0.615172E+01
  0.144191E+01  0.171029E+03  0.631481E+01
  0.144456E+01  0.152981E+03  0.621192E+01
  0.144721E+01  0.154264E+03  0.626012E+01
  0.144986E+01  0.157132E+03  0.618116E+01
  0.145251E+01  0.149268E+03  0.614283E+01
  0.145517E+01  0.159807E+03  0.622227E+01
  0.145782E+01  0.149109E+03  0.616301E+01
  0.146047E+01  0.165251E+03  0.619118E+01
  0.146312E+01  0.148623E+03  0.620423E+01
  0.146577E+01  0.147429E+03  0.610276E+01
  0.146843E+01  0.150937E+03  0.617697E+01
  0.147108E+01  0.149239E+03  0.609093E+01
  0.147373E+01  0.143998E+03  0.615155E+01
  0.147638E+01  0.138511E+03  0.614792E+01
  0.147904E+01  0.145287E+03  0.608812E+01
  0.148169E+01  0.140067E+03  0.615056E+01
  0.148434E+01  0.145805E+03  0.607048E+01
  0.148699E+01  0.145094E+03  0.610833E+01
  0.148964E+01  0.142383E+03  0.609607E+01
  0.149230E+01  0.132170E+03  0.608291E+01
  0.149495E+01  0.141349E+03  0.611782E+01
  0.149760E+01  0.134385E+03  0.601292E+01
  0.150025E+01  0.143642E+03  0.613107E+01
  0.150291E+01  0.127724E+03  0.604735E+01
  0.150556E+01  0.142701E+03  0.607414E+01
  0.150821E+01  0.120615E+03  0.605929E+01
  0.151086E+01  0.121920E+03  0.604533E+01
  0.151351E+01  0.131573E+03  0.609371E+01
  0.151617E+01  0.128638E+03  0.606050E+01
  0.151882E+01  0.145678E+03  0.603070E+01
  0.152147E+01  0.122554E+03  0.601249E+01
  0.152412E+01  0.127810E+03  0.606307E+01
  0.152678E+01  0.129962E+03  0.603830E+01
  0.152943E+01  0.125686E+03  0.604913E+01
  0.153208E+01  0.124132E+03  0.599798E+01
  0.153473E+01  0.129182E+03  0.603049E+01
  0.153738E+01  0.109272E+03  0.602551E+01
  0.154004E+01  0.119634E+03  0.597142E+01
  0.154269E+01  0.117125E+03  0.597612E+01
  0.154534E+01  0.124178E+03  0.598418E+01
  0.154799E+01  0.122814E+03  0.592244E+01
  0.155064E+01  0.111557E+03  0.595637E+01
  0.155330E+01  0.119772E+03  0.595752E+01
  0.155595E+01  0.120971E+03  0.597234E+01
  0.155860E+01  0.113431E+03  0.597965E+01
  0.156125E+01  0.121251E+03  0.589445E+01
  0.156391E+01  0.109554E+03  0.597548E+01
